Word;Count;Percentage (%)
words;32;5.57491
counting;26;4.52962
the;18;3.13589
hello;17;2.96167
Слова;13;2.26481
повторяются;12;2.09059
again;12;2.09059
снова;10;1.74216
world;10;1.74216
слов;9;1.56794
ДОБЖЕ;9;1.56794
file;9;1.56794
test;8;1.39373
Подсчёт;8;1.39373
program;8;1.39373
подсчёт;8;1.39373
repeated;7;1.21951
fox;7;1.21951
и;7;1.21951
letters;7;1.21951
testing;7;1.21951
repeat;7;1.21951
слова;7;1.21951
your;6;1.0453
букв;6;1.0453
this;6;1.0453
dog;6;1.0453
carefully;6;1.0453
Простые;6;1.0453
simple;6;1.0453
jumps;6;1.0453
Тщательный;5;0.87108
lazy;5;0.87108
перепрыгивает;5;0.87108
examples;5;0.87108
ленивую;5;0.87108
over;5;0.87108
and;5;0.87108
примеры;5;0.87108
собаку;5;0.87108
через;5;0.87108
sentences;5;0.87108
в;4;0.696864
appear;4;0.696864
этом;4;0.696864
файл;4;0.696864
программы;4;0.696864
программу;4;0.696864
Лиса;4;0.696864
in;4;0.696864
коричневая;3;0.522648
times;3;0.522648
лиса;3;0.522648
для;3;0.522648
предложений;3;0.522648
Тестирование;3;0.522648
Быстрая;3;0.522648
раз;3;0.522648
тестирование;3;0.522648
Тщательно;3;0.522648
some;3;0.522648
файле;3;0.522648
make;3;0.522648
is;3;0.522648
quick;3;0.522648
brown;3;0.522648
easier;3;0.522648
мир;2;0.348432
Некоторые;2;0.348432
Привет;2;0.348432
тестируйте;2;0.348432
много;2;0.348432
help;2;0.348432
тоже;2;0.348432
Этот;2;0.348432
собака;2;0.348432
вашу;2;0.348432
всему;2;0.348432
встречаются;2;0.348432
файлу;2;0.348432
are;2;0.348432
repeatedly;2;0.348432
подсчитываем;2;0.348432
thoroughly;2;0.348432
throughout;2;0.348432
помогают;2;0.348432
повторяющиеся;2;0.348432
это;2;0.348432
по;2;0.348432
many;2;0.348432
упрощают;2;0.348432
прыгает;1;0.174216
помогает;1;0.174216
789;1;0.174216
проще;1;0.174216
8;1;0.174216
9;1;0.174216
появляются;1;0.174216
проверять;1;0.174216
проверки;1;0.174216
a;1;0.174216
привет;1;0.174216
препинания;1;0.174216
предложения;1;0.174216
содержит;1;0.174216
accurate;1;0.174216
4;1;0.174216
shows;1;0.174216
123;1;0.174216
часто;1;0.174216
цифры;1;0.174216
2;1;0.174216
3;1;0.174216
учитываются;1;0.174216
уникальные;1;0.174216
точные;1;0.174216
тестовом;1;0.174216
тестирования;1;0.174216
результаты;1;0.174216
теста;1;0.174216
тест;1;0.174216
тексте;1;0.174216
считаются;1;0.174216
1;1;0.174216
456;1;0.174216
5;1;0.174216
6;1;0.174216
7;1;0.174216
сДОБЖЕлов;1;0.174216
like;1;0.174216
бежит;1;0.174216
Цифры;1;0.174216
Файлы;1;0.174216
fun;1;0.174216
Тестовый;1;0.174216
Тестируем;1;0.174216
0;1;0.174216
helps;1;0.174216
high;1;0.174216
large;1;0.174216
большой;1;0.174216
ВсегоДОБЖЕ;1;0.174216
matters;1;0.174216
multiple;1;0.174216
unique;1;0.174216
to;1;0.174216
n;1;0.174216
numbers;1;0.174216
punctuation;1;0.174216
results;1;0.174216
runs;1;0.174216
достаточно;1;0.174216
повторяющихся;1;0.174216
contains;1;0.174216
несколько;1;0.174216
некоторые;1;0.174216
мы;1;0.174216
dogДОБЖЕ;1;0.174216
enough;1;0.174216
количество;1;0.174216
everything;1;0.174216
знаков;1;0.174216
показывает;1;0.174216
fast;1;0.174216
делают;1;0.174216
высоко;1;0.174216
всего;1;0.174216
вроде;1;0.174216
весело;1;0.174216
важен;1;0.174216
files;1;0.174216
быстро;1;0.174216
frequently;1;0.174216
